sample_id,image_path,scene_id,utterance_idx,text,label_text,label_id,split,num_faces,face_paths,face_prob_negative,face_prob_neutral,face_prob_positive,face_detected_flag,num_faces_norm,image_prob_negative,image_prob_neutral,image_prob_positive
train-u0000000,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\0.jpg,train-1,0,Okay. I'm confused.,negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000000__face0.jpg'],0.3164534,0.3513872,0.33215937,1,0.2,0.3117099,0.38086504,0.30742508
train-u0000001,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\1.jpg,train-1,1,"You don't care if I go to Paris with Jane,",negative,0,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000001__face0.jpg'],0.2539928,0.3895601,0.35644713,1,0.2,0.31287146,0.37592635,0.31120217
train-u0000002,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\2.jpg,train-1,2,"I'm sorry. I have to tell you something,",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000002__face0.jpg'],0.300756,0.40370423,0.2955398,1,0.2,0.3146669,0.37553728,0.30979583
train-u0000003,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\3.jpg,train-1,3,I have to go.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000003__face0.jpg'],0.24338007,0.47698107,0.2796388,1,0.2,0.31143963,0.3746766,0.31388375
train-u0000004,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\4.jpg,train-1,4,I'm an accessory to murder.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000004__face0.jpg'],0.23085468,0.5017145,0.26743075,1,0.2,0.28943372,0.39318892,0.31737733
train-u0000005,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\5.jpg,train-2,5,I think you've helped enough.,positive,2,val,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000005__face0.jpg'],0.2433137,0.39767545,0.35901088,1,0.2,0.27750173,0.359651,0.36284727
train-u0000006,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\6.jpg,train-2,6,"Gaby, please. I can't stand this anymore.",neutral,1,val,3,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000006__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000006__face1.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000006__face2.jpg']",0.2942563866666667,0.3949193766666667,0.31082418666666667,1,0.6,0.30217975,0.35921827,0.338602
train-u0000007,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\7.jpg,train-2,7,Can't we talk for a minute?,neutral,1,val,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000007__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000007__face1.jpg']",0.23796636999999998,0.506598205,0.255435415,1,0.4,0.28375787,0.3739372,0.34230494
train-u0000008,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\8.jpg,train-2,8,"To be honest,",negative,0,val,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000008__face0.jpg'],0.20703927,0.43528804,0.35767266,1,0.2,0.29877976,0.35456985,0.34665033
train-u0000009,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\9.jpg,train-2,9,Wait. What do you mean?,neutral,1,val,0,[],0.328871624467637,0.3912107455421912,0.2799176299901718,0,0.0,0.29636675,0.3541964,0.34943685
train-u0000010,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\10.jpg,train-3,10,He called us down to the station and grilled US one by one.,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000010__face0.jpg'],0.28801048,0.4903819,0.22160761,1,0.2,0.27661115,0.3791894,0.34419942
train-u0000011,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\11.jpg,train-3,11,Why didn't he call me down there?,neutral,1,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000011__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000011__face1.jpg']",0.31661512,0.379635425,0.303749445,1,0.4,0.28321815,0.38156322,0.33521855
train-u0000012,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\12.jpg,train-3,12,"Good question, given this whole thing is about you.",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000012__face0.jpg'],0.2596936,0.45649368,0.2838128,1,0.2,0.27521414,0.3799927,0.3447932
train-u0000013,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\13.jpg,train-3,13,What are you talking about?,neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000013__face0.jpg'],0.2631141,0.47344166,0.2634443,1,0.2,0.29281673,0.36486256,0.34232065
train-u0000014,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\14.jpg,train-3,14,"Bree, he wants revenge. He wants to bring you down,",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000014__face0.jpg'],0.28740272,0.47002807,0.24256918,1,0.2,0.28882834,0.37203842,0.3391332
train-u0000015,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\15.jpg,train-3,15,"Gaby, please.",neutral,1,train,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000015__face0.jpg'],0.24072121,0.5002895,0.25898927,1,0.2,0.29806662,0.34744316,0.3544902
train-u0000016,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\16.jpg,train-3,16,I will figure out a way to make things better.,positive,2,train,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000016__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000016__face1.jpg']",0.3363822,0.35117721,0.31244064,1,0.4,0.2921568,0.34947184,0.35837144
train-u0000017,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\17.jpg,train-4,17,don't talk.,neutral,1,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000017__face0.jpg'],0.31688043,0.38639838,0.29672122,1,0.2,0.30522862,0.34596595,0.3488054
train-u0000018,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\18.jpg,train-4,18,"Oh, my God! You brought it.",positive,2,test,1,['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000018__face0.jpg'],0.2484737,0.29303592,0.4584904,1,0.2,0.3257956,0.32026732,0.35393703
train-u0000019,C:\Users\hp\Desktop\CNN\EEEM068-Human-Sentiment-Analysis\data\raw\images\train\19.jpg,train-4,19,Now before I give it to you..,negative,0,test,2,"['C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000019__face0.jpg', 'C:\\Users\\hp\\Desktop\\CNN\\EEEM068-Human-Sentiment-Analysis\\data\\faces\\train-u0000019__face1.jpg']",0.36816222499999995,0.339636335,0.2922014,1,0.4,0.3612945,0.30231482,0.3363907
